entry_id,headword_kin,pronunciation_kin,synonym_kin,english_terms,french_terms,domain,definition_kin,source_title,source_page,source_year,review_status,notes
rcha-it-000001,Abafatanyabikorwa bifashisha urubuga,abafâtanyabîkorwâ biifâshiisha urubûga,,Website affiliate | affiliate,Affilié du site Web | affilié du site de la toile | affilié,Ikoranabuhanga rya mudasobwa.,"Umufatanyabikorwa utangaza umurongo uhuza abasura urubuga rwe, abasomyi b’urubuga rwe cyangwa urubuga rwe nkoranyambaga.",Inkoranyamuga y'ikoranabuhanga,9,2026,auto_parsed,
rcha-it-000002,Abagarutse kuri murandasi,abagâruka kurî murâandasî,,Returning visitors,Visiteurs qui reviennent,Ikoranabuhanga rya murandasi.,"Abashyitsi basuye urubuga rwa murandasi, bakaba barugarutseho.",Inkoranyamuga y'ikoranabuhanga,9,2026,auto_parsed,
rcha-it-000003,Abashya kuri murandasi,abashyâ kurî murâandasî,,New Visitors | New Users,Nouveaux visiteurs,Ikoranabuhanga rya murandasi.,Abasuye urubuga rwa murandasi bwa mbere.,Inkoranyamuga y'ikoranabuhanga,9,2026,auto_parsed,
rcha-it-000004,Indanga,indaanga,,Address,Addresse,Ikoranabuhanga rya mudasobwa.,"Ingenamikorere cyangwa urufunguzo rwihariye ruranga ahantu habitswe amakuru yihariye mu mbikamakuru ya mudasobwa cyangwa y’ihuzanzira nyamibare, yifashisha inzungano n’inkoranabuhanga bishobora gutahura, kubona cyangwa kugarura amakuru ku buryo buhamye.",Inkoranyamuga y'ikoranabuhanga,9,2026,auto_parsed,
rcha-it-000005,Aderesi nyunganizi,adereêsi nyungaanizi,,Subnet address,Adresse de sous-réseau,Ikoranabuhanga rya murandasi.,Igice cy’umubare ndanga wa mudasobwa cyangwa w’igikoresho cy’ihuzanzira cyerekana agace k’ihuzanzira kiri hamwe n’irindi huzanzira ryagutse.,Inkoranyamuga y'ikoranabuhanga,9,2026,auto_parsed,
rcha-it-000006,Imeri,imêeri,,E-mail | email,Courriel | Courrier électronique,Ikoranabuhanga rya murandasi.,"Uburyo bw’itumanaho bukoresha ibikoresho by’itumanaho mu kohereza ubutumwa ku mbuga nkoranyambaga, urugero: info.",Inkoranyamuga y'ikoranabuhanga,10,2026,auto_parsed,
rcha-it-000007,Agace kadindiye,agacê kaâdiindiye,,Under-served area,Zone mal desservie,Ikoranabuhanga rya murandasi.,"Ahantu hagenwe aho iboneka rya serivisi z’itumanaho riri hasi, aho serivisi ya murandasi ifite umuvuduko wa 100 Mbps kugeza kuri 20 Mbps.",Inkoranyamuga y'ikoranabuhanga,10,2026,auto_parsed,
rcha-it-000008,Agace nyongeragaciro k’inkoranabuhanga,agacê nyôngeeragâciiro k’îinkôranabûhaânga,,Software Module,Module logiciel,Ikoranabuhanga rya mudasobwa.,Urwungano rwigenga mu nkoranabuhanga rufite ibyiciro byinshi bikenera urwinjiriro rwihariye n’isohokero riteguwe n’inzira izwi.,Inkoranyamuga y'ikoranabuhanga,10,2026,auto_parsed,
rcha-it-000009,Agaciro ngenzurayangirika,agacîiro ngêenzurayângiirika,,Checksum,Somme de contrôle,Ikoranabuhanga rya mudasobwa.,"Agaciro gato k'amakuru gakomoka ku makuru menshi, gakoreshwa mu kumenya amakosa ashobora kubaho mu gihe cyo kohereza amakuru cyangwa kuyabika.",Inkoranyamuga y'ikoranabuhanga,10,2026,auto_parsed,
rcha-it-000010,Agaciro nyamwanya,agacîiro nyamwaânya,,Code page value | character Set | encoding,Valeur de codes | jeu de caractères | codage,Ikoranabuhanga rya mudasobwa.,"Umumaro umwanya ugira muri mudasobwa ukaba ushobora guhagararamo ishusho, ijwi cyangwa inyuguti.",Inkoranyamuga y'ikoranabuhanga,10,2026,auto_parsed,
rcha-it-000011,Agahembe ka anteni,agaheêmbe kaa anteêni,,Spurn antenna | spur | horn-spur,Antenne défilée,Ikoranabuhanga rya murandasi.,Ubwoko bwa sisiteme ya anteni y’icyogajuru bufite ubushobozi bwo guhuza n’icyogajuru ikuraho amakuru hatitawe ku ngendo zacyo mu kirere.,Inkoranyamuga y'ikoranabuhanga,10,2026,auto_parsed,
rcha-it-000012,Agahuza,agahuûza,,Straight Tip connector | ST connector,Connecteur à pointe droite,Ikoranabuhanga rya murandasi.,Igikoresho cyifashishwa mu mu guhuza no gutandukanya insinga z’ihuzanzira zinyuzwa mu butaka.,Inkoranyamuga y'ikoranabuhanga,10,2026,auto_parsed,
rcha-it-000013,Agakayi koranabuhanga,agakayî kôranabuhaânga,,OneNote,OneNote,Ikoranabuhanga rya mudasobwa.,"Inkoranabuhanga ikora incamake koranabuhanga, ikagira ububiko bumwe rukumbi ishyiramo incamake z’inyandiko, z’ubushakashatsi, muri make ibyo ugomba kwibuka kugira ngo ucunge urugo rwawe, akazi kawe cyangwa ibyo ugomba kwibuka ku ishuri.",Inkoranyamuga y'ikoranabuhanga,11,2026,auto_parsed,
rcha-it-000014,Agasanduku k’ibikoresho koranabuhanga,agasâandukû k’ibikôreesho kôranabûhaânga,,ICT Toolbox,Boîte à outils inforamatique,Ikoranabuhanga rya mudasobwa.,Zimwe mu ntambwe ziteguye zinyurwamo mu gihe cyo kwandika porogaramu za mudasobwa.,Inkoranyamuga y'ikoranabuhanga,11,2026,auto_parsed,
rcha-it-000015,Agasanduku k’ubutumwa koranabuhanga,agasâandukû k’ûbutumwâ kôranabûhaânga,,Email box | e-mailbox | electronic mailbox | mailbox,Boîte aux lettres électronique | boîte de messagerie | boîte e-mail | boîte aux lettres e-mail | boîte e-mail | messagerie,Ikoranabuhanga rya murandasi.,"Ububiko bw’ikoranabuhanga bwakira, bugashyingura bukanacunga ubutumwa koranabuhanga bw’ukoresha ikoranabuhanga.",Inkoranyamuga y'ikoranabuhanga,11,2026,auto_parsed,
rcha-it-000016,Agashusho ndangabubiko,agashusho ndâangabûbiiko,,My computer,Mon ordinateur,Ikoranabuhanga rya mudasobwa.,Akarango gashyirwa ahagana ibumoso h’ikirahure kuri mudasobwa hagamijwe kwerekana ibiri muri mudasobwa.,Inkoranyamuga y'ikoranabuhanga,11,2026,auto_parsed,
